Country,City
United States,New York City
United States,Los Angeles
United States,Chicago
United States,Houston
United States,Phoenix
United States,Philadelphia
United States,San Antonio
United States,San Diego
United States,Dallas
United States,San Jose
Japan,Tokyo
Japan,Yokohama
Japan,Osaka
Japan,Nagoya
Japan,Sapporo
Japan,Kobe
Japan,Kyoto
Japan,Fukuoka
Japan,Kawasaki
Japan,Saitama
France,Paris
France,Marseille
France,Lyon
France,Toulouse
France,Nice
France,Nantes
France,Strasbourg
France,Montpellier
France,Bordeaux
France,Lille
United Kingdom,London
United Kingdom,Birmingham
United Kingdom,Manchester
United Kingdom,Glasgow
United Kingdom,Leeds
United Kingdom,Liverpool
United Kingdom,Newcastle
United Kingdom,Sheffield
United Kingdom,Bristol
United Kingdom,Nottingham
China,Beijing
China,Shanghai
China,Guangzhou
China,Shenzhen
China,Tianjin
China,Wuhan
China,Chongqing
China,Chengdu
China,Nanjing
China,Xi'an
India,Mumbai
India,Delhi
India,Bangalore
India,Hyderabad
India,Ahmedabad
India,Chennai
India,Kolkata
India,Pune
India,Jaipur
India,Surat
Brazil,Rio de Janeiro
Brazil,Sao Paulo
Brazil,Brasilia
Brazil,Salvador
Brazil,Fortaleza
Brazil,Belo Horizonte
Brazil,Manaus
Brazil,Curitiba
Brazil,Recife
Brazil,Porto Alegre
Australia,Sydney
Australia,Melbourne
Australia,Brisbane
Australia,Perth
Australia,Adelaide
Australia,Gold Coast
Australia,Canberra
Australia,Newcastle
Australia,Hobart
Australia,Darwin
Germany,Berlin
Germany,Hamburg
Germany,Munich
Germany,Cologne
Germany,Frankfurt
Germany,Stuttgart
Germany,Dusseldorf
Germany,Leipzig
Germany,Dortmund
Germany,Essen
Canada,Toronto
Canada,Montreal
Canada,Vancouver
Canada,Calgary
Canada,Edmonton
Canada,Ottawa
Canada,Winnipeg
Canada,Quebec City
Canada,Hamilton
Canada,Kitchener
